date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2020-03-10,102437814.68098108,321,17661,10253050.494533954,0.12511310552729857,1.2816313118167442,312560.5658347276,45917.773317674255,-37157166.44170179,-6168983.1232531,-52541.75948161883,45917.773317674255,102184794.64549917,-0.008835127602754901
2020-03-11,102683730.3048199,318,17664,10196199.622255914,0.12412141134710646,1.2745249527819893,245489.5471971773,45836.99888986523,-37267225.89022042,-5921044.354434194,-50112.85068403112,45836.99888986523,102430710.26933798,-0.00644981255888481
2020-03-12,103097640.79860243,318,17664,10066642.20041372,0.12205228609545182,1.2583302750517151,413177.88644473394,39679.79871160421,-37425002.75929199,-3803794.6294392734,-38220.4222773974,39679.79871160421,102844620.76312052,-0.0024349927104219916
2020-03-13,106852066.97096412,318,17664,9793028.516445044,0.1145629279111909,1.2241285645556306,3753881.1814156515,16549.826914908397,-32328490.779584397,-4877191.959556726,-32166.648691402042,16549.826914908397,106599046.9354822,0.0
2020-03-16,103014806.96387789,312,17670,9391081.451297008,0.11395305354731658,1.1738851814121258,-3837968.0418305607,37182.22295695039,-34660864.318724014,-2184994.0946108554,-31047.02653611966,37182.22295695039,102761786.92839597,-0.035997132407841206
2020-03-17,105704425.61202519,321,17688,9778297.924654903,0.11563255119214351,1.2222872405818628,2700364.584785586,26598.371595837674,-31426252.894677997,-3163286.2979387306,-31771.58292517571,26598.371595837674,105451405.57654327,-0.010765962660374708
2020-03-18,106612190.68237378,318,17691,9674703.226540953,0.11343336025432213,1.209337903317619,907143.9505299573,17670.164187748793,-31440247.983672757,-3411881.423228679,-31731.65461126337,17670.164187748793,106359170.64689186,-0.0022502667283275436
2020-03-19,106283618.57503784,318,17691,9649806.432716627,0.11349122473073917,1.2062258040895784,-329659.1471880139,21271.000693699327,-31442489.136804674,-3242017.6474446235,-32657.99247193909,21271.000693699327,106030598.53955592,-0.005332584223481176
2020-03-20,107483189.67412467,318,17691,9778069.801288292,0.1137162684571205,1.2222587251610364,1198639.3697862595,13330.21248182048,-29491755.779462308,-3738620.548909672,-24929.81254798914,13330.21248182048,107230169.63864276,0.0
2020-03-23,106701261.70005731,315,17694,9892199.732911728,0.11588663029026787,1.236524966613966,-782770.801896045,21225.934537921596,-33305946.894612554,-3837708.2292999323,-33863.68017102082,21225.934537921596,106448241.6645754,-0.0072920520101982115
2020-03-24,106073753.02047703,321,17715,10149095.718395406,0.11959951719201653,1.2686369647994258,-616915.5690112349,26636.368440109854,-34698614.48341698,-5058459.091801697,-39228.04849550417,26636.368440109854,105820732.98499511,-0.013144030811452942
2020-03-25,106915725.06013101,318,17718,10190574.067395052,0.11914260111952332,1.2738217584243814,841179.7544348284,17837.606129277152,-34483407.21479336,-5272240.417196767,-37533.371683884456,17837.606129277152,106662705.0246491,-0.005292023839055471
2020-03-26,105024721.06267434,318,17718,10180527.009955335,0.12116822243069829,1.272565876244417,-1891921.6829209095,32591.200452598365,-36081250.34016133,-4879728.96165213,-36241.310321400735,32591.200452598365,104771701.02719243,-0.022927023427596685
2020-03-27,107902650.23842382,318,17718,10194347.940447178,0.11809658889194966,1.2742934925558973,2877152.37417463,15612.242008127492,-33347963.96229143,-5809689.216649325,-31835.52549377661,15612.242008127492,107649630.20294191,0.0
2020-03-30,107912987.79319638,318,17718,10071512.936700214,0.11666242802026276,1.2589391170875268,9334.308753775626,24935.165161174806,-31696312.850871056,-5070361.0329465745,-28629.711604960565,24935.165161174806,107659967.75771447,0.0
2020-03-31,108007172.32730128,321,17742,9950364.66433196,0.11515860995530361,1.2437955830414948,104940.65956023186,19088.934818948586,-27715195.553423136,-6828646.6152011175,-25435.759754885978,19088.934818948586,107754152.29181936,0.0
2020-04-01,108072804.22965007,318,17745,9927624.410579694,0.11482565481372074,1.2409530513224618,64843.89723009273,16099.846926666774,-27504612.729446515,-6807421.15403503,-25148.991363335164,16099.846926666774,107819784.19416815,0.0
2020-04-02,107426116.17522186,318,17745,10032409.025200868,0.11673615064931099,1.2540511281501086,-647377.6528345986,21240.88272640329,-30656132.591224995,-5660043.160556884,-35505.00322656986,21240.88272640329,107173096.13973995,-0.005997860775380623
2020-04-03,107475521.92936236,318,17745,10017200.804392653,0.11650560779523822,1.2521501005490816,48462.758351571014,20893.445858363724,-30457452.739140224,-5617275.134430932,-34364.25827877173,20893.445858363724,107222501.89388044,-0.0055396354644161394
2020-04-06,107931326.62601823,318,17745,10125485.922360992,0.11726769047143484,1.265685740295124,454997.75047553994,18742.005915074686,-31697899.93121645,-5476981.361877307,-32324.239399674807,18742.005915074686,107678306.59053631,-0.0013121673790132805
2020-04-07,107736669.25692527,309,17754,9656958.858472843,0.11204354707035015,1.2071198573091053,-195554.13191596826,14222.24677505337,-31771321.482271712,-4671157.961772454,-33930.93155242268,14222.24677505337,107483649.22144336,-0.003117563026461488
2020-04-08,107489043.48995194,309,17754,9617505.963321755,0.11184286382896316,1.2021882454152193,-248503.90630104908,15732.930426467377,-31904572.12274766,-4438269.920896382,-34527.53523617567,15732.930426467377,107236023.45447002,-0.005414226563900893
2020-04-09,107534723.12262432,300,17763,9605681.268045122,0.11165790208400339,1.2007101585056403,44865.31065939589,15371.014535669825,-32665852.685723722,-4142806.764252737,-34383.818261777866,15371.014535669825,107281703.08714241,-0.004990560044682845
2020-04-10,107584952.21450046,321,17769,10149423.03455079,0.11792335760761294,1.2686778793188487,61053.724261663476,23686.738675897555,-33974416.39158855,-6731914.522659842,-39269.95517348638,23686.738675897555,107331932.17901854,-0.0045246984938409444
2020-04-13,107791992.21161872,318,17772,10043590.486567585,0.11646958044492152,1.255448810820948,206530.5351834286,21386.420689523937,-33381353.00612884,-6905302.10764607,-37071.76574372337,21386.420689523937,107538972.1761368,-0.002604457244374012
2020-04-14,107818728.52522059,312,17778,9912741.218858032,0.11492369362039077,1.2390926523572539,25909.50400935075,19748.911588092782,-34731673.46945201,-6889433.175961066,-36482.30463909812,19748.911588092782,107565708.48973867,-0.002356485002529064
2020-04-15,107421280.45437604,312,17778,9887233.473289307,0.11505208082918696,1.2359041841611633,-398302.93443116907,24996.591745780363,-34349564.56372722,-6700219.3798480565,-37379.60726027569,24996.591745780363,107168260.41889413,-0.006042710808071378
2020-04-16,107876681.45339416,303,17787,9708417.346591001,0.11249439192733832,1.2135521683238752,454558.3362149505,19188.0483905027,-33554376.10937963,-6781351.179681528,-35416.68234239078,19188.0483905027,107623661.41791224,-0.00181898691155527
2020-04-17,106332547.95956637,321,17796,9972691.23660467,0.11723469704211416,1.2465864045755837,-1533317.9418052516,36130.87920434531,-34163773.03707955,-5464202.182716308,-40757.6613336938,36130.87920434531,106079527.92408445,-0.016140416928953787
2020-04-20,106086598.03313202,318,17799,9894348.318838391,0.11658339156738107,1.236793539854799,-246498.4879744987,37114.9005187338,-33885311.60835848,-5370335.857903103,-41174.89529618345,37114.9005187338,105833577.9976501,-0.018421537488344186
2020-04-21,106083720.75402297,315,17802,9774334.885194456,0.11517241778145056,1.221791860649307,-3734.463120192062,36285.48655893584,-33724282.31259447,-4836022.305912727,-40117.511646490326,36285.48655893584,105830700.71854106,-0.018448223491572168
2020-04-22,106100117.31339714,315,17802,9805210.197392477,0.11551837129960438,1.2256512746740595,15519.814144425593,38429.18859430788,-34004327.311448626,-5448419.818002788,-40354.1888352073,38429.18859430788,105847097.27791522,-0.018296149737235576
2020-04-23,107563658.9929361,306,17811,9692821.13164627,0.11264051937237946,1.2116026414557837,1462844.0750867135,22658.34869384159,-32562540.279617008,-6239782.713416816,-37716.56114845868,22658.34869384159,107310638.95745419,-0.0047221874957295625
2020-04-24,107601800.61282587,321,17823,10026119.464969639,0.11647248707581745,1.253264933121205,48938.76326299903,25638.334888519563,-32926114.167843293,-6482988.4913106365,-41576.86584027182,25638.334888519563,107348780.57734396,-0.004368434052659427
2020-04-27,107746588.42194876,318,17826,9857548.712717032,0.1143603344789172,1.232193589089629,144215.42095699284,25085.535225449712,-32366621.8900049,-6744229.8520877985,-40121.12939955647,25085.535225449712,107493568.38646685,-0.0030255653926540616
2020-04-28,107835183.4544862,318,17826,9827743.816472212,0.1139208872007459,1.2284679770590266,87708.77144590982,23864.266911476137,-32072623.220682245,-6805575.028404727,-39399.39415320389,23864.266911476137,107582163.41900429,-0.002203869882877319
2020-04-29,107863535.86689663,318,17826,9840012.926445248,0.1140331258307233,1.230001615805656,27482.57903801865,23936.688037098436,-32265119.67990219,-7062013.114387695,-38891.76623890916,23936.688037098436,107610515.83141471,-0.0019409087517423826
2020-04-30,107952678.69398026,309,17835,9746230.876426548,0.11285304582453616,1.2182788595533185,88311.08855286127,21915.792013506023,-31812443.267800767,-6866473.743628119,-37903.524141612776,21915.792013506023,107699658.65849835,-0.0011141325923401456
2020-05-01,107933997.93635963,321,17850,10157511.66515988,0.1176356831416198,1.2696889581449848,-7870.9812643117275,29710.25124354481,-32926728.009790804,-7885155.836724626,-43446.68298795596,29710.25124354481,107680977.90087771,-0.0012873916816645247
2020-05-04,108068089.56500247,318,17853,9973096.532214375,0.11535663039337346,1.246637066526797,133575.22458921076,26159.149114018768,-32457783.905201267,-7414927.038604403,-41090.096068167244,26159.149114018768,107815069.52952056,-4.372726844920828e-05
2020-05-05,108159245.43582197,318,17853,9983591.277120002,0.11538069673206908,1.2479489096400003,90286.69536615924,25929.511461551127,-32679892.302122094,-7412582.312679827,-41082.67654744156,25929.511461551127,107906225.40034005,0.0
2020-05-06,108234467.47566126,318,17853,9949828.818337338,0.11491058544468241,1.2437286022921672,74329.77320864005,25829.88501518219,-32424994.53767028,-7351055.263075055,-40683.93526991398,25829.88501518219,107981447.44017935,0.0
2020-05-07,108233904.26727372,318,17853,10014636.615324983,0.11565965261904848,1.251829576915623,-1384.9897581401674,25438.55980643793,-33215621.73129097,-6895774.10402224,-41068.49221840417,25438.55980643793,107980884.23179181,-5.215788460798347e-06
2020-05-08,108312672.62932755,309,17862,9682819.72977097,0.11174615461327349,1.2103524662213712,77899.5085885519,24135.918243832068,-32374859.464358,-6485195.0808234075,-40801.666950456936,24135.918243832068,108059652.59384564,0.0
