date,delta,gamma,vega,theta
2022-06-13,-6850088.631444211,-101728.82586809319,-9316.618414793069,9685.090534607345
2022-06-14,-6860086.53641127,-96189.56100512936,-10227.648272681266,9088.045688860051
2022-06-15,-6983751.912306953,-93155.27828259034,-10103.612298446908,8982.962173552763
2022-06-16,-7031001.497694103,-94495.99434149043,-10094.837977313804,9265.58528150765
2022-06-17,-7047260.750322317,-94510.82910577275,-10095.620422533999,9505.113110571321
2022-06-20,-7057508.817313135,-94392.25796300881,-9875.813725087562,9688.265717610615
2022-06-21,-7116707.895811298,-93722.97282110962,-9763.692212238806,9728.497255101613
2022-06-22,-7127720.583360911,-92588.3129241512,-9701.663354208546,10232.076619286972
2022-06-23,-6952094.907004222,-95919.07840437784,-9492.345116811643,10468.915485739057
2022-06-24,-7132518.101916933,-97671.99308937602,-10533.491267164181,10627.639367153457
2022-06-27,-7096519.633494652,-93740.49226403654,-10098.275466052237,9864.879505000099
2022-06-28,-7055048.743894574,-93145.72092806497,-10170.845677659894,10083.846477081008
2022-06-29,-7023082.3512557335,-93032.28177563856,-9962.692890050897,9836.977713457332
2022-06-30,-6844389.53773129,-94139.13803740752,-9697.264957578776,10205.196998499821
2022-07-01,-7012690.647594827,-105894.19948352681,-10769.909456541436,10543.634438662824
2022-07-04,-7004623.073698762,-101871.6967705215,-10406.833495493594,10465.33518378112
2022-07-05,-6837075.332701599,-103643.61249407168,-10255.268196737197,10352.586181740291
2022-07-06,-6469214.739707898,-93215.62378251788,-8889.054841520423,6966.49182520524
2022-07-07,-6632527.418501319,-98646.83234668103,-10047.733409683318,9835.072400118777
2022-07-08,-6735702.114390316,-105265.86631586192,-10802.519775193554,10308.775266144368
2022-07-11,-6669983.979042293,-104702.397753114,-10482.630723073209,10343.191177977906
2022-07-12,-6627016.785361743,-104603.77535311409,-10351.285337640622,10099.243719761223
2022-07-13,-6671860.5457838075,-110711.7826654159,-10305.507898178337,10234.518274539128
2022-07-14,-6500695.231804247,-103745.93596191137,-10177.522847017031,9527.148808745062
2022-07-15,-6664511.855954162,-117077.13662684454,-10915.007723978317,10485.907728695858
2022-07-18,-6629329.64727801,-118752.89125509278,-10678.779970880825,10516.756316562192
2022-07-19,-6623664.256730757,-119336.72015713579,-10570.38847730538,10433.627539587142
2022-07-20,-6576569.658280731,-115778.98169089503,-10378.228432675029,10483.143402708465
2022-07-21,-6628507.665062299,-121220.42362524732,-10365.747585289522,10187.71167447289
2022-07-22,-6708438.87631019,-122982.11837193744,-10304.079614905992,10733.605679266539
2022-07-25,-6692657.314741053,-140597.97749194325,-10899.011048430735,10692.413156807434
2022-07-26,-6683200.789300288,-139837.10724030246,-10798.080577091083,10546.740348872003
2022-07-27,-6747987.245660474,-134052.89382249344,-10612.930462334434,10678.481900203518
2022-07-28,-6750890.549265391,-154310.98021224854,-10856.44546630088,9963.913421068606
2022-07-29,-6784369.9689958235,-137925.8869758292,-10649.656643149374,9598.530109211424
2022-08-01,-6863442.837436004,-152807.30631831745,-11341.515327900444,10523.757046741302
2022-08-02,-6858829.3832634315,-155140.29676618907,-11177.899538325935,10285.198049739449
2022-08-03,-6904651.097205087,-148548.3898403167,-10974.93500316654,10033.714861783956
2022-08-04,-6969087.619549744,-151777.87478832842,-10968.487516762962,9737.354702111146
2022-08-05,-6900576.077747063,-150560.833756644,-10860.884089176696,9134.23668842544
2022-08-08,-6940155.494585456,-164500.94465380308,-11589.98094530524,10975.369094833979
2022-08-09,-6958435.407057627,-181715.79045936154,-11407.95078727808,10242.160118560902
2022-08-10,-6900405.496605262,-251828.91313599393,-11644.051986512015,10632.473833824946
2022-08-11,-6895904.515281376,-242737.1833234323,-11563.676657502407,10611.605050373328
2022-08-12,-7031057.804980521,-243127.63056691806,-10844.552713284567,9978.49396386085
2022-08-15,-6990773.839743707,-247410.21668195573,-11596.552397909825,10307.228850643212
2022-08-16,-6946765.08606532,-249747.2103875706,-12035.992621862415,10337.70195674321
2022-08-17,-6922888.088189124,-244302.1950477866,-11888.043332523363,9699.583044868054
2022-08-18,-6925524.45070665,-214181.98938849402,-11531.380908652876,9854.227044437674
2022-08-19,-6869800.104166961,-254786.43274222256,-11682.241057184037,10273.352700423373
2022-08-22,-6458870.407934939,-242084.1130939066,-11298.87387368715,8596.863676346948
2022-08-23,-6953777.61610355,-247203.61969714207,-12219.050735261759,9810.201469645252
2022-08-24,-6972684.752475701,-262008.46246014474,-12012.406330270464,8804.705174557575
2022-08-25,-6996337.820368827,-263258.9017998177,-11881.049159299293,8794.72907406259
2022-08-26,-6966098.360681872,-269884.8290729571,-11629.542804060966,10549.654771039282
