date,pair,open_trades
2023-09-11,USDJPY,36
2023-09-11,EURJPY,19
2023-09-11,XAGUSD,44
2023-09-11,EURNOK,4
2023-09-11,CADJPY,23
2023-09-11,GBPJPY,23
2023-09-11,NZDJPY,15
2023-09-11,AUDJPY,9
2023-09-11,EURAUD,4
2023-09-11,USDNOK,1
2023-09-12,XAUUSD,93
2023-09-12,EURSEK,2
2023-09-12,USDCAD,1
2023-09-12,CHFJPY,50
2023-09-12,USDJPY,36
2023-09-12,EURJPY,18
2023-09-12,XAGUSD,43
2023-09-12,EURNOK,4
2023-09-12,CADJPY,23
2023-09-12,GBPJPY,22
2023-09-12,NZDJPY,15
2023-09-12,AUDJPY,9
2023-09-12,EURAUD,4
2023-09-12,USDNOK,1
2023-09-13,XAUUSD,93
2023-09-13,EURSEK,2
2023-09-13,USDCAD,1
2023-09-13,CHFJPY,50
2023-09-13,USDJPY,36
2023-09-13,EURJPY,18
2023-09-13,XAGUSD,43
2023-09-13,EURNOK,4
2023-09-13,CADJPY,23
2023-09-13,GBPJPY,22
2023-09-13,NZDJPY,15
2023-09-13,AUDJPY,9
2023-09-13,EURAUD,4
2023-09-13,USDNOK,1
2023-09-14,XAUUSD,93
2023-09-14,EURSEK,2
2023-09-14,USDCAD,1
2023-09-14,CHFJPY,49
2023-09-14,USDJPY,35
2023-09-14,EURJPY,18
2023-09-14,XAGUSD,42
2023-09-14,EURNOK,4
2023-09-14,CADJPY,23
2023-09-14,GBPJPY,22
2023-09-14,NZDJPY,15
2023-09-14,AUDJPY,9
2023-09-14,EURAUD,4
2023-09-14,USDNOK,1
2023-09-15,XAUUSD,93
2023-09-15,EURSEK,2
2023-09-15,USDCAD,1
2023-09-15,CHFJPY,49
2023-09-15,USDJPY,35
2023-09-15,EURJPY,18
2023-09-15,XAGUSD,42
2023-09-15,EURNOK,4
2023-09-15,CADJPY,23
2023-09-15,GBPJPY,22
2023-09-15,NZDJPY,15
2023-09-15,AUDJPY,9
2023-09-15,EURAUD,4
2023-09-15,USDNOK,1
2023-09-18,XAUUSD,89
2023-09-18,USDCAD,1
2023-09-18,EURSEK,1
2023-09-18,CHFJPY,49
2023-09-18,USDJPY,34
2023-09-18,EURJPY,17
2023-09-18,XAGUSD,39
2023-09-18,EURNOK,4
2023-09-18,CADJPY,22
2023-09-18,GBPJPY,20
