date,pair,open_trades
2023-01-12,GBPAUD,1
2023-01-12,EURUSD,14
2023-01-12,GBPCHF,24
2023-01-12,EURJPY,20
2023-01-12,EURAUD,22
2023-01-12,GBPUSD,5
2023-01-12,USDCHF,29
2023-01-12,USDCAD,12
2023-01-12,EURCAD,4
2023-01-12,EURCHF,16
2023-01-12,EURGBP,10
2023-01-12,GBPNZD,2
2023-01-12,NZDJPY,3
2023-01-12,USDJPY,10
2023-01-12,NZDUSD,8
2023-01-12,GBPCAD,6
2023-01-12,EURSEK,2
2023-01-12,EURNOK,14
2023-01-12,USDSEK,6
2023-01-12,USDNOK,15
2023-01-12,AUDJPY,5
2023-01-12,XAGUSD,1
2023-01-12,CHFJPY,5
2023-01-13,XAUUSD,44
2023-01-13,AUDUSD,13
2023-01-13,GBPJPY,10
2023-01-13,CADJPY,19
2023-01-13,GBPAUD,1
2023-01-13,EURUSD,14
2023-01-13,GBPCHF,24
2023-01-13,EURJPY,20
2023-01-13,EURAUD,22
2023-01-13,GBPUSD,5
2023-01-13,USDCHF,29
2023-01-13,USDCAD,12
2023-01-13,EURCAD,4
2023-01-13,EURCHF,16
2023-01-13,EURGBP,10
2023-01-13,GBPNZD,2
2023-01-13,NZDJPY,3
2023-01-13,USDJPY,10
2023-01-13,NZDUSD,8
2023-01-13,GBPCAD,6
2023-01-13,EURSEK,2
2023-01-13,USDSEK,5
2023-01-13,USDNOK,15
2023-01-13,EURNOK,13
2023-01-13,AUDJPY,5
2023-01-13,XAGUSD,1
2023-01-13,CHFJPY,5
2023-01-16,XAUUSD,44
2023-01-16,AUDUSD,13
2023-01-16,GBPJPY,10
2023-01-16,CADJPY,19
2023-01-16,GBPAUD,1
2023-01-16,EURUSD,14
2023-01-16,GBPCHF,24
2023-01-16,EURJPY,20
2023-01-16,EURAUD,22
2023-01-16,GBPUSD,5
2023-01-16,USDCHF,29
2023-01-16,USDCAD,12
2023-01-16,EURCAD,4
2023-01-16,EURCHF,16
2023-01-16,EURGBP,10
2023-01-16,GBPNZD,2
2023-01-16,NZDJPY,3
2023-01-16,USDJPY,10
2023-01-16,NZDUSD,8
2023-01-16,GBPCAD,6
2023-01-16,EURSEK,2
2023-01-16,USDSEK,5
2023-01-16,USDNOK,15
2023-01-16,EURNOK,13
2023-01-16,AUDJPY,5
2023-01-16,XAGUSD,1
2023-01-16,CHFJPY,5
2023-01-17,XAUUSD,44
2023-01-17,AUDUSD,13
2023-01-17,GBPJPY,10
2023-01-17,CADJPY,19
2023-01-17,GBPAUD,1
2023-01-17,EURUSD,14
2023-01-17,GBPCHF,24
2023-01-17,EURJPY,20
2023-01-17,EURAUD,22
2023-01-17,GBPUSD,5
2023-01-17,USDCHF,29
2023-01-17,USDCAD,12
2023-01-17,EURCAD,4
2023-01-17,EURCHF,16
2023-01-17,EURGBP,10
2023-01-17,GBPNZD,2
2023-01-17,NZDJPY,3
2023-01-17,USDJPY,10
2023-01-17,NZDUSD,8
2023-01-17,GBPCAD,6
2023-01-17,EURSEK,2
2023-01-17,USDSEK,5
2023-01-17,USDNOK,15
2023-01-17,EURNOK,13
2023-01-17,AUDJPY,5
2023-01-17,XAGUSD,1
2023-01-17,CHFJPY,5
2023-01-18,XAUUSD,44
2023-01-18,AUDUSD,11
2023-01-18,GBPJPY,10
2023-01-18,CADJPY,18
2023-01-18,GBPAUD,1
2023-01-18,EURUSD,14
2023-01-18,GBPCHF,23
2023-01-18,EURJPY,19
2023-01-18,EURAUD,22
2023-01-18,GBPUSD,4
2023-01-18,USDCHF,29
2023-01-18,USDCAD,12
2023-01-18,EURCAD,4
2023-01-18,EURCHF,16
2023-01-18,EURGBP,9
2023-01-18,GBPNZD,2
2023-01-18,NZDJPY,3
2023-01-18,USDJPY,9
2023-01-18,NZDUSD,7
2023-01-18,GBPCAD,6
2023-01-18,EURSEK,2
2023-01-18,USDSEK,5
2023-01-18,USDNOK,15
2023-01-18,EURNOK,13
2023-01-18,AUDJPY,5
2023-01-18,XAGUSD,1
2023-01-18,CHFJPY,5
2023-01-19,XAUUSD,44
2023-01-19,AUDUSD,11
2023-01-19,GBPJPY,10
2023-01-19,CADJPY,18
2023-01-19,GBPAUD,1
2023-01-19,EURUSD,14
2023-01-19,GBPCHF,23
2023-01-19,EURJPY,19
2023-01-19,EURAUD,22
2023-01-19,GBPUSD,4
2023-01-19,USDCHF,29
2023-01-19,USDCAD,12
2023-01-19,EURCAD,4
2023-01-19,EURCHF,16
2023-01-19,EURGBP,9
2023-01-19,GBPNZD,2
2023-01-19,NZDJPY,3
2023-01-19,USDJPY,9
2023-01-19,NZDUSD,7
2023-01-19,GBPCAD,6
2023-01-19,EURSEK,2
2023-01-19,USDSEK,5
2023-01-19,USDNOK,15
2023-01-19,EURNOK,13
2023-01-19,AUDJPY,5
2023-01-19,XAGUSD,1
2023-01-19,CHFJPY,5
2023-01-20,CADJPY,19
2023-01-20,GBPAUD,1
2023-01-20,XAUUSD,42
2023-01-20,EURUSD,15
2023-01-20,GBPCHF,25
2023-01-20,EURJPY,20
2023-01-20,EURAUD,20
2023-01-20,GBPJPY,10
2023-01-20,GBPUSD,5
2023-01-20,USDCHF,29
2023-01-20,USDCAD,13
2023-01-20,EURCAD,4
2023-01-20,EURCHF,16
2023-01-20,EURGBP,10
2023-01-20,GBPNZD,2
2023-01-20,NZDJPY,3
2023-01-20,AUDUSD,14
2023-01-20,USDJPY,11
2023-01-20,NZDUSD,8
2023-01-20,GBPCAD,6
2023-01-20,EURSEK,3
2023-01-20,USDSEK,7
2023-01-20,USDNOK,15
2023-01-20,EURNOK,12
2023-01-20,XAGUSD,4
2023-01-20,AUDJPY,4
2023-01-20,CHFJPY,6
2023-01-23,CADJPY,19
2023-01-23,GBPAUD,1
2023-01-23,XAUUSD,40
2023-01-23,EURUSD,15
2023-01-23,GBPCHF,25
2023-01-23,EURJPY,20
2023-01-23,EURAUD,19
2023-01-23,GBPJPY,10
2023-01-23,GBPUSD,5
2023-01-23,USDCHF,28
2023-01-23,USDCAD,13
2023-01-23,EURCAD,4
2023-01-23,EURCHF,16
2023-01-23,EURGBP,9
2023-01-23,GBPNZD,2
2023-01-23,NZDJPY,3
2023-01-23,AUDUSD,14
2023-01-23,USDJPY,10
2023-01-23,NZDUSD,8
2023-01-23,GBPCAD,6
2023-01-23,EURSEK,3
2023-01-23,USDSEK,7
2023-01-23,USDNOK,15
2023-01-23,EURNOK,12
2023-01-23,XAGUSD,4
2023-01-23,AUDJPY,4
2023-01-23,CHFJPY,6
2023-01-24,CADJPY,19
2023-01-24,GBPAUD,1
2023-01-24,XAUUSD,40
2023-01-24,EURUSD,15
2023-01-24,GBPCHF,25
2023-01-24,EURJPY,20
2023-01-24,EURAUD,19
2023-01-24,GBPJPY,10
2023-01-24,GBPUSD,5
2023-01-24,USDCHF,28
2023-01-24,USDCAD,13
2023-01-24,EURCAD,4
2023-01-24,EURCHF,16
2023-01-24,EURGBP,9
2023-01-24,GBPNZD,2
2023-01-24,NZDJPY,3
2023-01-24,AUDUSD,14
2023-01-24,USDJPY,10
2023-01-24,NZDUSD,8
2023-01-24,GBPCAD,6
2023-01-24,EURSEK,3
2023-01-24,USDSEK,7
2023-01-24,USDNOK,15
2023-01-24,EURNOK,12
2023-01-24,XAGUSD,4
2023-01-24,AUDJPY,4
2023-01-24,CHFJPY,6
2023-01-25,CADJPY,19
2023-01-25,GBPAUD,1
2023-01-25,XAUUSD,40
2023-01-25,EURUSD,15
2023-01-25,GBPCHF,25
2023-01-25,EURJPY,19
2023-01-25,EURAUD,19
2023-01-25,GBPJPY,10
2023-01-25,GBPUSD,5
2023-01-25,USDCHF,28
2023-01-25,USDCAD,13
2023-01-25,EURCAD,4
2023-01-25,EURCHF,16
2023-01-25,EURGBP,8
2023-01-25,GBPNZD,2
2023-01-25,NZDJPY,3
2023-01-25,AUDUSD,13
2023-01-25,USDJPY,9
2023-01-25,NZDUSD,7
2023-01-25,GBPCAD,6
2023-01-25,EURSEK,3
2023-01-25,USDSEK,7
2023-01-25,USDNOK,15
2023-01-25,EURNOK,12
2023-01-25,XAGUSD,4
2023-01-25,AUDJPY,4
2023-01-25,CHFJPY,5
2023-01-26,CADJPY,19
2023-01-26,GBPAUD,1
2023-01-26,XAUUSD,40
2023-01-26,EURUSD,15
2023-01-26,GBPCHF,25
2023-01-26,EURJPY,19
2023-01-26,EURAUD,19
2023-01-26,GBPJPY,10
2023-01-26,GBPUSD,5
2023-01-26,USDCHF,28
2023-01-26,USDCAD,13
2023-01-26,EURCAD,4
2023-01-26,EURCHF,16
2023-01-26,EURGBP,8
2023-01-26,GBPNZD,2
2023-01-26,NZDJPY,3
2023-01-26,AUDUSD,13
2023-01-26,USDJPY,9
2023-01-26,NZDUSD,7
2023-01-26,GBPCAD,6
2023-01-26,EURSEK,3
2023-01-26,USDSEK,7
2023-01-26,USDNOK,15
2023-01-26,EURNOK,12
2023-01-26,XAGUSD,4
2023-01-26,AUDJPY,4
2023-01-26,CHFJPY,5
2023-01-27,CADJPY,20
2023-01-27,EURUSD,17
2023-01-27,GBPCHF,28
2023-01-27,EURJPY,22
2023-01-27,EURAUD,19
2023-01-27,GBPJPY,8
2023-01-27,GBPUSD,6
2023-01-27,USDCHF,27
2023-01-27,USDCAD,15
2023-01-27,EURCAD,3
2023-01-27,XAUUSD,39
2023-01-27,EURCHF,15
2023-01-27,EURGBP,8
2023-01-27,GBPNZD,2
2023-01-27,NZDJPY,5
2023-01-27,AUDUSD,15
2023-01-27,USDJPY,12
2023-01-27,GBPCAD,6
2023-01-27,NZDUSD,6
2023-01-27,EURSEK,2
2023-01-27,USDSEK,7
2023-01-27,USDNOK,15
2023-01-27,EURNOK,11
2023-01-27,XAGUSD,6
2023-01-27,AUDJPY,4
2023-01-27,CHFJPY,6
2023-01-30,CADJPY,20
2023-01-30,EURUSD,17
2023-01-30,GBPCHF,28
2023-01-30,EURJPY,22
2023-01-30,EURAUD,18
2023-01-30,GBPJPY,8
2023-01-30,GBPUSD,6
2023-01-30,USDCHF,26
2023-01-30,USDCAD,15
2023-01-30,EURCAD,3
2023-01-30,XAUUSD,37
2023-01-30,EURCHF,15
2023-01-30,EURGBP,8
2023-01-30,GBPNZD,1
2023-01-30,NZDJPY,5
2023-01-30,AUDUSD,15
2023-01-30,USDJPY,12
2023-01-30,GBPCAD,5
2023-01-30,NZDUSD,6
2023-01-30,EURSEK,2
2023-01-30,USDSEK,7
2023-01-30,USDNOK,15
2023-01-30,EURNOK,11
2023-01-30,XAGUSD,6
2023-01-30,AUDJPY,4
2023-01-30,CHFJPY,6
2023-01-31,CADJPY,20
2023-01-31,EURUSD,17
2023-01-31,GBPCHF,28
2023-01-31,EURJPY,22
2023-01-31,EURAUD,18
2023-01-31,GBPJPY,8
2023-01-31,GBPUSD,6
2023-01-31,USDCHF,26
2023-01-31,USDCAD,15
2023-01-31,EURCAD,3
2023-01-31,XAUUSD,37
2023-01-31,EURCHF,15
