trade_id,pair,tenor,delta,strike,option_type,notional,direction,entry_date,expiry_date,entry_vol,sabr_vol,vol_edge,entry_price,premium,domestic_rate,foreign_rate,spot_entry,forward,hedged,hedge_size,hedge_cost,exit_price,pnl,premium_net_received,last_mark,hedge_last_mark,hedge_entry_spot,entry_cost,first_mtm_done
3828,XAUUSD,6M,0.75,1573.6333389578483,call,7.080694026024903,-1,2022-05-24,2022-11-20,1.4405000000000001,0.11492822070331851,1.3255717792966817,814.7425565940684,5768.942753223877,0.014787899155458802,0.014787899155458802,1866.45,1866.45,True,6.3100491555844265,2.037833742705341,164.41666104215165,3783.905675589433,5678.370351998262,-1164.1840696201245,10967.180934863512,1853.46,90.57240122561485,False
3829,XAUUSD,6M,0.25,5931.991318991235,put,1.3683476283672251,-1,2022-05-24,2022-11-20,1.4085,0.4830869652574938,0.9254130347425062,4215.99207221022,5768.942753223877,0.014787899155458802,0.014787899155458802,1866.45,1866.45,True,-1.3682367562195878,0.2983752176046668,4193.941318991235,97.2105234629916,5678.370351998262,-5738.769657352968,-2378.0638941474544,1853.46,90.57240122561485,False
3830,EURJPY,6M,0.25,449.15726927466545,put,17.80260513662155,-1,2022-05-24,2022-11-20,1.4402,0.6645562938840909,0.775643706115909,324.05048075557465,5768.942753223876,0.014787899155458802,0.014911511586072398,136.16,136.1517,True,-17.801150600139685,0.7865903689121857,303.58726927466546,101.87042495993714,5678.370351998261,-5404.6442794020695,-2591.313492862334,135.96,90.57240122561484,False
4146,CADJPY,3M,0.9,53.17424575277229,call,122.10929286386074,-1,2022-08-23,2022-11-21,1.501925,0.41825352278998945,1.0836714772100104,56.43546859749739,6891.295162881025,0.02702304840406893,0.06221042200726022,105.628,104.7155,True,122.0676753351996,1.5299705397729582,52.50175424722771,363.4177801980701,6783.101828823793,-6410.952085241173,12899.623658722552,105.735,108.19333405723208,False
4147,GBPJPY,3M,0.9,83.53933107801153,call,81.84580172047774,-1,2022-08-23,2022-11-21,1.4196250000000001,0.3796814919333637,1.0399435080666364,84.19851743179674,6891.295162881025,0.02702304840406893,0.05296550002457977,161.848,160.816,True,81.82205172147867,1.3795939881607604,84.50366892198848,378.3123237838947,6783.101828823793,-6916.270531241966,13749.62303743244,161.775,108.19333405723208,False
4148,XAUUSD,3M,0.75,1398.4571577507663,call,12.380599893892134,-1,2022-08-23,2022-11-21,1.1720000000000002,0.1431653632444944,1.0288346367555057,556.6204563545251,6891.295162881025,0.02702304840406893,0.02702304840406893,1748.15,1748.15,True,12.284260845491541,2.723719048526566,339.5928422492336,2414.599815548116,6783.101828823793,-4204.36310671739,21350.659562506575,1751.19,108.19333405723208,False
4251,USDJPY,2M,0.1,793.7499604542929,put,9.287152476018594,-1,2022-09-22,2022-11-21,2.4044,0.7849888106090114,1.6194111893909886,653.6745736716206,6070.77543538479,0.02955311069546319,0.06774753383702802,142.39,141.4988,True,-9.283705545011157,0.13322689743818653,651.609960454293,-65.40808799199053,5975.464261049249,-6051.601057631465,-1319.5859061678857,143.31,95.3111743355412,False
4252,CHFJPY,2M,0.1,532.4681788771159,put,15.598225921600395,-1,2022-09-22,2022-11-21,1.91695,0.6555212717117692,1.2614287282882306,389.19653208625414,6070.7754353847895,0.02955311069546319,0.033898735857413244,145.499,145.39509999999999,True,-15.595328874829278,0.4078722674147492,384.1641788771159,-53.88788251425,5975.464261049248,-5992.27965311136,-2312.849653452681,145.953,95.31117433554118,False
4253,GBPJPY,2M,0.25,295.0613516458257,put,41.58429055043252,-1,2022-09-22,2022-11-21,1.53725,0.39166421528679457,1.1455857847132054,145.98723111609385,6070.77543538479,0.02955311069546319,0.0579889550160199,160.331,159.58329999999998,True,-41.571073328993535,0.8209177720392798,127.0183516458257,175.90529064746602,5975.464261049249,-5281.968040077025,-6985.727875424061,155.612,95.3111743355412,False
4380,CHFJPY,3W,0.1,336.0426060101548,put,163.90154729226316,-1,2022-10-31,2022-11-21,2.2032,0.4831776243625361,1.7200223756374637,190.24751176968547,31181.861547554498,0.0334670630931333,0.03450897046164325,148.473,148.4641,True,-163.8705567968066,2.4290396801402223,187.73860601015483,-86.67007002388664,30692.30632125789,-30770.64801155695,-24302.659055193606,148.268,489.55522629660555,False
