date,delta,gamma,vega,theta
2020-07-13,-3688705.258407547,-506763.36952213367,-3928.264304563926,4940.097285983421
2020-07-14,-3662888.7961831316,-478763.2136221968,-3764.4354445500126,4643.28193640585
2020-07-15,-3670815.660020301,-497594.17770597985,-3733.5299855534445,4786.231695435845
2020-07-16,-3651029.5530535905,-479064.7965166109,-3670.615321199464,4725.479295817721
2020-07-17,-3678387.7351177847,-452372.35698624945,-3552.9652331983566,4391.257430338581
2020-07-20,-3637053.6127126897,-531959.8309081732,-3780.3666195974893,4876.2788531377855
2020-07-21,-3761657.7655273126,-462512.00525631465,-3566.1636552747364,4436.914868339088
2020-07-22,-3948814.4088421036,-439621.98460158915,-3031.724446449205,3674.2693001041266
2020-07-23,-3954827.0047665355,-425502.22104597033,-3002.2583687513493,3581.7824472052494
2020-07-24,-3975193.5918543222,-398087.08058048575,-2950.6508672685104,3469.351726162534
2020-07-27,-4077328.454378141,-345560.5070832351,-2471.5911386979933,2286.7114651316206
2020-07-28,-4075431.662941999,-317697.8944670594,-2366.922852886692,2143.4157072795783
2020-07-29,-4458744.481975783,-425502.1135636065,-2699.9694331587248,2919.8106531298545
2020-07-30,-4414554.943141842,-407265.3712944181,-2666.3379201238304,2827.736009913008
2020-07-31,-4316233.80500556,-363957.00959336903,-2505.7379340297307,2638.185574891311
2020-08-03,-4228000.522947067,-338554.3987840134,-2364.8073812329612,2328.676813962091
2020-08-04,-4149283.10956779,-335762.69599066,-2276.724498790723,2140.8258367494655
2020-08-05,-4695735.022759304,-494798.1049781659,-2683.359019833827,3040.2815489153004
2020-08-06,-4809150.0888660215,-462212.5280431746,-2582.827796762307,3055.0958852219546
2020-08-07,-4750628.087896279,-461208.7748618422,-2603.3184813081257,3068.4397807734904
2020-08-10,-4456556.375204878,-396019.1133038553,-2418.0299542786597,2688.86273631364
2020-08-11,-4161383.287593347,-367572.7198947887,-2353.70984026052,2560.594465991409
2020-08-12,-4393552.517798028,-498002.2946573238,-2924.6742808867066,3537.8307879909785
2020-08-13,-4531965.492486385,-465623.15917898517,-2737.778830037664,3269.208412277948
2020-08-14,-4357941.431977309,-458232.19022473175,-2800.5231736717274,3281.545655650619
2020-08-17,-4443128.815708345,-400815.9551717796,-2626.2413584980054,2911.093817152817
2020-08-18,-4468110.982858323,-378235.28037786327,-2541.248809012829,2783.731551381143
2020-08-19,-4107639.1348687527,-413999.71265954315,-2827.3658606789522,3480.3739666801075
2020-08-20,-4146643.208764658,-393992.11131479713,-2775.976755673237,3256.6733824724533
2020-08-21,-4018138.74498874,-372840.8453233648,-2645.327646741213,3268.3522862122513
2020-08-24,-4014582.1358438088,-341287.25335096405,-2501.013872158199,2861.304505573497
2020-08-25,-4014315.170205309,-340892.987879024,-2458.1514349583063,2807.329292604274
2020-08-26,-3978688.899643528,-353252.59276150656,-2510.548492124862,3016.088199867172
2020-08-27,-3947650.7268402465,-340703.9656169374,-2459.8505229162697,2935.620633539494
2020-08-28,-3832238.406127912,-341733.01173393265,-2409.6667492868646,2879.7525048971543
2020-08-31,-4052694.463891135,-395421.57629975496,-2673.133434942146,3654.30756781007
2020-09-01,-4020885.1447539306,-383429.72926574055,-2564.558953532525,3574.426150188001
2020-09-02,-4074367.80728541,-374427.68443847453,-2510.945687451362,3538.9387105316064
2020-09-03,-3922724.388238185,-370403.12621459126,-2505.763258821061,3560.9649712618884
2020-09-04,-3817836.1043512314,-314236.47965988773,-2367.515450507409,3395.0676699123396
2020-09-07,-4026164.8310518293,-388492.3557100997,-2653.9324811137353,3420.6611157251273
2020-09-08,-4031418.699170094,-281333.2136834216,-2584.0976104491583,3140.9013868610605
2020-09-09,-3842482.376472854,-281921.4876838571,-2402.3651521803295,2591.992665458602
2020-09-10,-3832715.333531731,-302898.4568807774,-2370.552767559431,2846.8631281257685
2020-09-11,-3628450.5041096434,-300279.88100800203,-2260.97120996731,2471.2696748676562
2020-09-14,-3616081.7745653256,-338251.02281020425,-2688.9488872591924,3129.25478182769
2020-09-15,-3611513.1744908704,-319564.69520449394,-2628.121612194067,2998.1125243152096
2020-09-16,-3613528.3007876724,-303689.1721897039,-2590.9560721910602,2924.2333832840113
2020-09-17,-3604880.0310008754,-290288.43955613306,-2559.825427616283,2834.3884541239536
2020-09-18,-3329544.802343839,-280775.0417341544,-2502.927737406319,2716.5933247621306
2020-09-21,-3395730.698529115,-348508.72119070776,-2904.434340520065,3542.01254864939
2020-09-22,-3377585.6482228865,-330958.2544355505,-2813.8513605045855,3619.8807463009703
2020-09-23,-3320490.366853012,-314762.20911526575,-2809.1139448849335,3569.366402632951
2020-09-24,-3360088.3558230177,-308586.8688470595,-2690.7097259826346,3265.1852433968884
2020-09-25,-3341636.7734002047,-277318.5434689156,-2648.3149160700614,3335.944501205185
2020-09-28,-3584432.9764900245,-395295.6080295034,-3346.886958417908,4489.599239202831
2020-09-29,-3562004.348802147,-365459.67561744177,-3251.6507016370674,4023.076439848449
2020-09-30,-3475762.1020082408,-358072.0329416635,-3216.0759719394364,3907.1740854943764
2020-10-01,-3507733.147216136,-340138.4329542172,-3164.776891262283,3865.242686274679
2020-10-02,-3511716.1526473975,-297149.2181028744,-3065.6207962719477,3742.384145592094
2020-10-05,-3702741.710496852,-323906.5969791523,-3683.9668559183924,5170.318837518347
2020-10-06,-3626145.1535635516,-290878.35687260254,-3641.3620745194557,5269.656991162756
2020-10-07,-3643265.476773361,-293284.8826135095,-3598.099359608109,5054.623829100582
2020-10-08,-3651300.246905805,-289252.14062810334,-3544.861376296473,4888.605361100693
2020-10-09,-3660502.6863990654,-275839.0401272898,-3443.0123139286075,4728.988512418828
2020-10-12,-3736110.0930015906,-328516.56294372136,-3860.7667889295253,5907.66464278395
2020-10-13,-3594020.280807004,-322012.17871072784,-3775.006619915484,5908.481749572863
2020-10-14,-3619505.6285984376,-301715.10731991276,-3655.80573748407,5467.232147279927
2020-10-15,-3656649.1301008267,-290562.83893466135,-3533.5771583620867,5257.8202385951645
