date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2023-07-21,11580971.514850546,312,1119,1140687.0954600852,0.12312083381749925,0.14258588693251065,14041.361699496456,3911.9715546308516,-3881265.5000273916,-67780.15221962679,-4797.128187830284,3911.9715546308516,11582825.519004794,-0.0004575911996435253
2023-07-24,11593692.519728133,312,1119,1135558.5196927898,0.12243279241713688,0.14194481496159872,13215.330364174904,3520.8544714784985,-3849030.2800044296,-66975.52777643644,-4564.903109083757,3520.8544714784985,11595546.523882382,0.0
2023-07-25,11598076.359762931,312,1119,1140243.8174790514,0.12289148024525923,0.14253047718488143,4875.132494203307,3183.854987363693,-3875211.576734787,-63584.50185839033,-4495.286733845905,3183.854987363693,11599930.36391718,0.0
2023-07-26,11600632.178951593,300,1131,1086172.041875619,0.11703802270431328,0.13577150523445236,3031.347475591237,3015.176013142893,-3858144.637703954,-61296.964656294105,-4463.545937955183,3015.176013142893,11602486.183105841,0.0
2023-07-27,11601218.06843868,300,1131,1068983.6241186375,0.11518010628414381,0.13362295301482968,1066.0234170451245,3085.1183768539145,-3766209.171492026,-64652.951286392,-4469.52974142208,3085.1183768539145,11603072.072592929,0.0
2023-07-28,11610280.90405336,300,1131,1078523.0367954264,0.11611724187686259,0.1348153795994283,9554.001104108762,3133.596793928625,-3859318.7966130176,-64564.659057240875,-4328.972360629138,3133.596793928625,11612134.908207608,0.0
2023-07-31,11624700.972010404,312,1146,1125388.0699476732,0.12101258267388423,0.14067350874345916,17074.698589019557,3567.5954767682206,-3806064.0233541266,-65245.956738890316,-4364.381506019546,3567.5954767682206,11626554.976164652,0.0
2023-08-01,11630015.96636628,312,1146,1118315.6024678205,0.12019712673890148,0.13978945030847756,5883.654243310817,3594.694506370799,-3757363.257621063,-66597.05517132918,-4333.834271738129,3594.694506370799,11631869.970520528,0.0
2023-08-02,11638340.106464414,306,1152,1067486.5977418083,0.11465193790273431,0.13343582471772603,8791.291908027786,3445.690889697176,-3700773.4642953305,-68655.12211180259,-4269.01453928534,3445.690889697176,11640194.110618662,0.0
2023-08-03,11633745.775284918,303,1155,1053099.154918698,0.11315134171531555,0.13163739436483723,-4121.27936385681,3455.5583070258463,-3622518.89231173,-68466.04079080957,-4357.741146634508,3455.5583070258463,11635599.779439166,-0.00039469540935788724
2023-08-04,11638987.558805386,324,1161,1126065.7358969278,0.12093682227594309,0.14075821698711596,7871.798950571448,4571.663023979484,-3691551.0165794375,-78209.54131382753,-4697.911577682171,4571.663023979484,11640841.562959634,0.0
2023-08-07,11645170.266792612,315,1170,1081311.8818842946,0.11606870671609729,0.13516398523553683,6744.772311316438,4073.4539313306286,-3573434.3429282783,-76065.32833420146,-4617.082316634222,4073.4539313306286,11647024.27094686,0.0
2023-08-08,11665919.688511211,315,1170,1077585.9271567657,0.11546302776903972,0.13469824089459573,21213.542892936093,4063.2304784570783,-3560566.4657850605,-80714.8154147038,-4437.090079958692,4063.2304784570783,11667773.69266546,0.0
2023-08-09,11671937.665511252,309,1176,1048531.695507034,0.11229194817040541,0.13106646193837926,6471.290212756285,4025.069167834869,-3540858.1453171084,-81367.18539594382,-4386.998164578836,4025.069167834869,11673791.6696655,0.0
2023-08-10,11680639.919333363,309,1176,1051269.3715334076,0.11250126050386433,0.13140867144167595,9170.897099033959,3880.946641135894,-3569392.3606203618,-80628.48538040015,-4190.708182301245,3880.946641135894,11682493.923487611,0.0
2023-08-11,11685421.496683192,324,1188,1083905.5524069867,0.11594634741188456,0.13548819405087334,7410.308346475181,3891.139294752008,-3538687.559168612,-74514.97612366713,-4436.323952791279,3891.139294752008,11687275.50083744,0.0
2023-08-14,11706586.2173798,318,1194,1065996.8809686715,0.1138244810628561,0.13324961012108394,21713.358403482314,3745.7321031166007,-3556857.5973198335,-78059.4475267052,-4258.794151132297,3745.7321031166007,11708440.221534047,0.0
2023-08-15,11695300.848696083,315,1197,1059277.6747952772,0.11321616353646183,0.13240970934940965,-10827.830477293975,3898.526699357754,-3531046.8765539033,-78862.23519211034,-4227.076636389068,3898.526699357754,11697154.852850331,-0.0009638661060044825
2023-08-16,11692684.974823762,315,1197,1058256.3625052783,0.11313230930105822,0.1322820453131598,-2160.1847854955995,3953.2246461024324,-3515371.696293353,-79513.31418141499,-4253.74242353635,3953.2246461024324,11694538.97897801,-0.0011872838988809418
2023-08-17,11687561.275168303,315,1197,1058617.9109115235,0.1132205733501362,0.13232723886394043,-4659.733936625337,3911.723760561336,-3534518.8846996683,-70301.75344725988,-4151.210018937849,3911.723760561336,11689415.279322552,-0.0016248912623310172
2023-08-18,11689764.338576378,303,1209,1006919.2681272655,0.10767104012572118,0.12586490851590817,2644.023884624713,3578.915316427024,-3593986.008151308,-65067.67110035117,-4098.448818745394,3578.915316427024,11691618.342730626,-0.0014367309808254543
2023-08-21,11719285.995606525,318,1221,1068729.4276970713,0.11399259179459932,0.13359117846213392,32183.489910520315,3869.564781542681,-3602210.764188024,-71272.11193417171,-4287.695769803591,3869.564781542681,11721139.999760773,0.0
2023-08-22,11717898.942702668,318,1221,1068438.034126513,0.113975000910027,0.13355475426581412,-827.6183032446297,3707.9394188792203,-3603607.815340762,-70014.51702780237,-4274.616143828509,3707.9394188792203,11719752.946856916,-0.00011833771321606871
2023-08-23,11726370.711571043,318,1221,1077815.698190065,0.1148922932658233,0.13472696227375813,8931.067157646852,3456.103737791058,-3688790.5665174136,-65058.218031410914,-4142.742416085361,3456.103737791058,11728224.715725292,0.0
